name,rank,latitude,longitude,is_duplicate_name
ARCHERS POST,221,0.6395829,37.667929,False
WAMBA,222,0.9830838999999999,37.32394010000001,False
SAMBURU,223,1.2154506,36.954107,False
ISINETI,224,-2.7373433,37.5033975,False
CHEPTAIS,225,0.8174946,34.4752715,False
KIMENDE,226,-0.9816887999999999,36.6299164,False
NDUNYU NJERU,227,-0.5469552999999999,36.5576894,False
SIAKAGO,228,-0.5776702,37.6404775,False
KATHIANI,229,-1.4116892,37.3312907,False
BARAGOI,230,1.7851169,36.78733649999999,False
MOKOWE,231,-2.2352243,40.8487826,False
SOTIK,232,-0.6906734999999999,35.1110613,False
AMAGORO,233,0.6280397999999999,34.3290767,False
SEGA,234,-0.023559,37.906193,False
WUNDANYI,235,-3.3982231,38.3639837,False
KANGARI,236,-0.7934610000000001,36.8573186,False
NYANDIWA BEACH,237,-0.7210852000000001,34.0557692,False
KIGANJO,238,-0.3906233,37.002812,False
NAMBALE,239,0.4492533,34.2518849,False
SEREM,240,0.088137,34.8458603,False
NJABINI,241,-0.7275516,36.65391839999999,False
OGEMBO,242,-0.8003002,34.7257313,False
MACKINON ROAD,243,-3.7229566,39.0315206,False
KHAYEGA,244,0.1920585,34.7851264,False
ROMBO,245,-3.0575011,37.7662816,False
MOSOCHO,246,-0.611036,34.7630307,False
KIRIAINI,247,-0.6000519999999999,36.9567938,False
NDORI,248,-0.07062009999999999,34.381897,False
KAGUMO,249,-0.4765097,37.2363434,False
MASII,250,-1.4607193,37.4394929,False
FUNYULA,251,0.279642,34.1177232,False
MAGONGA,252,-0.023559,37.906193,False
MWEIGA,253,-0.337328,36.9218584,False
NYANGUSU,254,-0.9341490999999998,34.8099773,False
KAPSOIT,255,-0.3206518,35.21896820000001,False
MAGENA,256,-0.023559,37.906193,False
NTULELE,257,-1.0888197,36.0675952,False
ORTUM,258,1.4375133,35.3562259,False
OLDONYO SABUK,259,-1.1400887,37.2570237,False
MITUNGUU,260,-0.1089044,37.7848732,False
KIKIMA,261,-0.023559,37.906193,False
KAPCHEROP,262,1.0316617,35.3156504,False
YALA,263,0.09107930000000002,34.5360762,False
BAHATI,264,-1.2916424,36.8586637,False
MULOT,265,-0.9483978000000001,35.4453207,False
LONDIAN,266,-0.2130109,35.6095474,False
TARBAJ,267,2.207131,40.1171111,False
