name,county,rank,latitude,longitude,is_duplicate_name
KILGORIS,NAROK,138,-1.006268,34.8789697,False
MATUNDA,UASIN GISHU/KAKAMEGA,139,0.8272566000000001,35.1206893,False
GITHUNGURI,KIAMBU,140,-1.0566569,36.778542,True
TIMAU,MERU,141,0.0854987,37.2383506,False
LOITOKTOK,KAJIADO,142,-2.924797,37.508143,False
KAINUK,TURKANA,143,1.7765218,35.5028379,False
SUBUKIA,NAKURU,144,-0.0018807,36.2278245,False
SINDO,HOMA BAY,145,-0.5417807,34.1657107,False
KANGUNDO,MACHAKOS,146,-1.3055671,37.3453215,False
KIMANA,KAJIADO,147,-2.7991749,37.5365723,False
KWALE,KWALE,148,-4.1816115,39.4605612,False
CHWELE,BUNGOMA,149,0.7358836,34.5777565,False
MWATATE,TAITA/TAVETA,150,-3.5032932,38.3639837,False
SALGAA,NAKURU,151,-0.023559,37.906193,False
MARIGAT,BARINGO,152,0.4694721000000001,35.98327430000001,False
KUTUS,KIRINYAGA,153,-0.5726926999999999,37.3258625,False
SULTAN HAMUD,MAKUENI/KAJIADO,154,-2.0179172,37.3758212,False
MARAGUA,MURANG'A,155,-0.7967611,37.1298422,False
KIBWEZI,MAKUENI,156,-2.4105236,37.96784700000001,False
RODI KOPANY,HOMA BAY,157,-0.6256742,34.5043672,False
NARO MORU,NYERI/LAIKIPIA,158,-0.1661137,37.021246,False
NANDI HILLS,NANDI,159,0.1030731,35.176372,False
USENGE,SIAYA,160,-0.0676755,34.0557887,False
GATUNDU,KIAMBU,161,-1.0130645,36.9050566,False
GIRIFTU,WAJIR,162,1.993701,39.732712,False
BROOKE BOND,KERICHO,163,-0.023559,37.906193,False
IL BISSIL,KAJIADO,164,-2.25624,36.8250274,False
SOLOLO,MARSABIT,165,3.561454,38.6441867,False
NKUBU,MERU,166,-0.0646591,37.667929,False
CHOGORIA,THARAKA-NITHI,167,-0.2298457,37.6264419,False
BUTERE,KAKAMEGA,168,0.2198155,34.4918988,False
SHIANDA,KAKAMEGA,169,0.3193134,34.5708356,False
MUHORONI,KISUMU,170,-0.1565104,35.1874594,False
GARSEN,TANA RIVER,171,-2.2694764,40.1107088,False
MARERENI,KILIFI,172,-2.7864232,40.1247931,False
KAPSOKWONY,BUNGOMA,173,0.8410654,34.7151012,False
UGUNJA,SIAYA,174,0.1811028,34.2966264,False
SORI,MIGORI,175,-0.8087152999999999,34.1587576,False
KALOLENI,KILIFI,176,-3.8148404,39.6285874,False
SONDU,KISUMU/KERICHO,177,-0.3900075,35.0140324,False
KIMBIMBI,KIRINYAGA,178,-0.6204365,37.3653607,False
MASENO,KISUMU,179,-0.00663,34.5979756,False
OTHAYA,NYERI,180,-0.5490317,36.9430557,False
MUKURWEINI,NYERI,181,-0.5612305,37.0510725,False
MWISHO WA RAMI,NAKURU,182,-0.023559,37.906193,False
BURA EAST,GARISSA,183,-1.4992288,40.0343255,False
KANGEMA,MURANG'A,184,-0.6846099999999999,36.9635102,False
KENDU BAY,HOMA BAY,185,-0.3695085,34.6502311,False
TING'ANG'A,KIAMBU,186,-1.1364396,36.8088765,False
LOLGORIAN,NAROK,187,-1.230912,34.8099773,False
KIJAURI,NYAMIRA,188,-0.7520707999999999,35.0182115,False
CHAKA,NYERI,189,-0.023559,37.906193,False
MPEKETONI,LAMU,190,-2.3904853,40.6968426,False
KINANGO,KWALE,191,-4.139338599999999,39.3180297,False
MTITO ANDEI,MAKUENI,192,-2.6917308,38.1662152,False
OLOLUNGA,NAROK,193,-1.0008803,35.6314191,False
GITHIGA,KIAMBU,194,-1.0718783,36.7280692,False
RIRONI,KIAMBU,195,-1.1596471,36.63895309999999,False
NDUNDORI,NAKURU,196,-0.2188589,36.25223709999999,False
CHEBILAT,BOMET/NYAMIRA,197,-0.6348187,35.2203419,False
LAARE,MERU,198,0.4450349,37.8512309,False
ENGINEER,NYANDARUA,199,-0.023559,37.906193,False
LOIYANGALANI,MARSABIT,200,2.7603913,36.7199836,False
NORTH HORR,MARSABIT,201,3.3211012,37.0725888,False
MAJI MAZURI,BARINGO,202,-0.007575299999999999,35.6860723,False
MALAVA,KAKAMEGA,203,0.4450431,34.8541389,False
KATITO,KISUMU,204,-0.3398088,34.8181012,False
